"Year","Country","Number","First name","Last name","Middle name","Gender","P1","P2","P3","P4","Total score","Award"
"2013","Netherlands","5","Ragnar","Groot Koerkamp","","m","7","4","7","3","21","gold"
"2013","Netherlands","6","Peter","Hintum","van","m","1","7","7","3","18","silver"
"2013","Netherlands","7","Lars","Ran","","m","5","0","1","3","9","bronze"
"2013","Netherlands","8","Djurre","Tijsma","","m","0","7","7","2","16","silver"
"2013","Netherlands","9","Bas","Verseveldt","","m","7","1","0","3","11","bronze"
"2013","Netherlands","10","Bob","Zwetsloot","","m","7","1","0","3","11","bronze"
"2014","Belgium","1","Pablo","Bustillo Vazquez","","m","2","6","5","0","13","bronze"
"2014","Belgium","2","Antoine","Dupuis","","m","3","7","5","0","15","silver"
"2014","Belgium","3","Alexander","Geldhof","","m","7","4","0","0","11","bronze"
"2014","Belgium","4","France","Gheeraert","","f","1","4","0","0","5",""
"2014","Belgium","5","Jef","Laga","","m","7","1","7","2","17","silver"
"2014","Belgium","6","Corentin","Bodart","","m","7","4","6","0","17","silver"
"2014","Belgium","7","Klaas","Parmentier","","m","7","4","0","0","11","bronze"
"2014","Belgium","8","Léo","Schelstraete","","m","2","4","0","0","6",""
"2014","Belgium","9","Jeroen","Van Hautte","","m","4","0","5","0","9",""
"2014","Belgium","10","Art","Waterschoot","","m","4","4","0","1","9",""
"2014","Luxembourg","1","Andreas","Bally","","m","0","4","0","0","4",""
"2014","Luxembourg","2","Alain","Bertemes","","m","2","1","0","0","3",""
"2014","Luxembourg","3","Gilles","Englebert","","m","7","7","6","1","21","gold"
"2014","Luxembourg","4","Pierre","Kreins","","m","0","1","0","0","1",""
"2014","Luxembourg","5","Christina","Meyer","","f","5","4","3","0","12","bronze"
"2014","Luxembourg","6","Nadine","Müller","","f","0","0","0","0","0",""
"2014","Luxembourg","7","Philippe","Roukoz","","m","0","0","0","0","0",""
"2014","Luxembourg","8","Nico","Thilmany","","m","0","2","0","0","2",""
"2014","Luxembourg","9","Charel","Thull","","m","7","4","0","0","11","bronze"
"2014","Luxembourg","10","Tara","Trauthwein","","f","0","2","0","0","2",""
"2014","Netherlands","1","Tysger","Boelens","","m","7","7","3","3","20","gold"
"2014","Netherlands","2","Yuhui","Cheng","","m","5","4","0","0","9",""
"2014","Netherlands","3","Koen","Doodeman","","m","2","1","4","0","7",""
"2014","Netherlands","4","Cas","Kraan","","m","7","4","4","0","15","silver"
"2014","Netherlands","5","Matthew","Maat","","m","7","2","2","0","11","bronze"
"2014","Netherlands","6","Peter","Plas","van der","m","3","4","0","0","7",""
"2014","Netherlands","7","Sander","Taams","","m","4","3","0","0","7",""
"2014","Netherlands","8","Bas","Verseveldt","","m","6","7","6","1","20","gold"
"2014","Netherlands","9","Jorke","Vlas","de","m","7","0","6","2","15","silver"
"2014","Netherlands","10","Bob","Zwetsloot","","m","5","3","1","2","11","bronze"
"2015","Belgium","1","Wouter","Andriessen","","m","7","0","0","1","8","hm"
"2015","Belgium","2","Corentin","Bodart","","m","7","0","4","3","14","bronze"
"2015","Belgium","3","Pablo","Bustillo Vazquez","","m","7","7","7","7","28","gold"
"2015","Belgium","4","Savinien","Kreczman","","m","7","1","4","3","15","silver"
"2015","Belgium","5","Tessa","Leliveld","","f","2","2","0","1","5",""
"2015","Belgium","6","Anton","Miserez","","m","0","0","0","2","2",""
"2015","Belgium","7","Ovidiu-Alexandru","Parfene","","m","1","0","4","1","6",""
"2015","Belgium","8","Simon","Roelandt","","m","7","0","4","1","12","bronze"
"2015","Belgium","9","Corentin","Simon","","m","1","0","7","0","8","hm"
"2015","Belgium","10","Art","Waeterschoot","","m","7","7","4","3","21","gold"
"2015","France","1","Baptiste","Collet","","m","7","0","7","1","15","silver"
"2015","France","2","Colin","Davalo","","m","7","7","7","7","28","gold"
"2015","France","3","Hugues","Déprés","","m","7","0","4","1","12","bronze"
"2015","France","4","Clara","Ding","","f","1","0","4","0","5",""
"2015","France","5","Henri","Godefroy","","m","7","0","5","7","19","silver"
"2015","France","6","Yassine","Hamdi","","m","7","7","7","1","22","gold"
"2015","France","7","Léo","Heidelberger","","m","1","2","1","3","7",""
"2015","France","8","Clément","Lezane","","m","7","7","6","1","21","gold"
"2015","France","9","Wassim","Trabelsi","","m","1","7","4","3","15","silver"
"2015","France","10","Lucie","Wang","","f","7","7","7","1","22","gold"
"2015","Luxembourg","1","Gilles","Englebert","","m","7","7","4","0","18","silver"
"2015","Luxembourg","2","Tara","Trauthwein","","f","7","0","1","0","8","hm"
"2015","Luxembourg","3","Pierre","Foxius","","m","0","0","1","1","2",""
"2015","Luxembourg","4","Tom","Schmit","","m","1","0","0","1","2",""
"2015","Luxembourg","5","Pit","Bermes","","m","1","0","0","1","2",""
"2015","Luxembourg","6","Alain","Bertemes","","m","4","0","0","0","4",""
"2015","Luxembourg","7","Tim","Bremer","","m","1","0","4","1","6",""
"2015","Luxembourg","8","Pit","Groben","","m","1","0","0","0","1",""
"2015","Luxembourg","9","Oliver","Nick","","m","1","2","4","1","8",""
"2015","Luxembourg","10","Max","Zuidberg","","m","0","0","1","0","1",""
"2015","Luxembourg","11","Lukas","Pierce","","m","0","0","0","0","0",""
"2015","Netherlands","1","Dirk","Bree","van","m","4","2","1","6","13","bronze"
"2015","Netherlands","2","Tim","Brouwer","","m","6","0","4","2","12","bronze"
"2015","Netherlands","3","Yuhui","Cheng","","m","7","1","0","2","10","bronze"
"2015","Netherlands","4","Mike","Daas","","m","2","7","2","1","12","bronze"
"2015","Netherlands","5","Hugo","Melchers","","m","1","0","1","1","3",""
"2015","Netherlands","6","Levi","Pol","van de","m","7","7","4","1","19","silver"
"2015","Netherlands","7","Jasper","Stammes","","m","1","2","1","0","4",""
"2015","Netherlands","8","Michiel","Versnel","","m","0","0","4","1","5",""
"2015","Netherlands","9","Jorke","Vlas","de","m","1","7","7","2","17","silver"
"2015","Netherlands","10","Bob","Zwetsloot","","m","7","3","4","1","15","silver"
"2016","Belgium","1","Wouter","Andriessen","","m","7","5","7","6","25","gold"
"2016","Belgium","2","Damien","Galant","","m","5","7","7","7","26","gold"
"2016","Belgium","3","Rodrigue","Haya Enriquez","","m","1","0","7","1","9","hm"
"2016","Belgium","4","Savinien","Kreczman","","m","5","7","3","7","22","silver"
"2016","Belgium","5","Samira","le Grand","","f","4","7","7","6","24","silver"
"2016","Belgium","6","Michaël","Maex","","m","1","4","1","1","7",""
"2016","Belgium","7","Pieter-Jan","Meuris","","m","0","7","7","1","15","bronze"
"2016","Belgium","8","Cédric","Pilatte","","m","1","0","5","1","7",""
"2016","Belgium","9","Tim","Santens","","m","4","7","7","1","19","bronze"
"2016","Belgium","10","Justin","Vast","","m","2","1","3","0","6",""
"2016","Luxembourg","1","Pierre","Foxius","","m","0","0","0","0","0",""
"2016","Luxembourg","2","Mathieu","Sabbagh","","m","0","2","0","0","2",""
"2016","Luxembourg","3","Daniel","Greis","","m","0","2","0","0","2",""
"2016","Luxembourg","4","Lea","Menasce","","f","0","0","0","5","5",""
"2016","Luxembourg","5","Oliver","Nick","","m","0","3","0","0","3",""
"2016","Luxembourg","6","Tom","Schmit","","m","1","1","0","0","2",""
"2016","Luxembourg","7","Philipp","Bauer","","m","0","0","0","0","0",""
"2016","Luxembourg","8","Martin","Rakovsky","","m","2","0","2","0","4",""
"2016","Luxembourg","9","Pit","Bermes","","m","3","0","0","0","3",""
"2016","Luxembourg","10","Pol","Thill","","m","0","0","0","0","0",""
"2016","Netherlands","1","Erik","Cappellen","van","m","2","3","3","1","9",""
"2016","Netherlands","2","Ludo","Dekker","","m","5","7","7","0","19","bronze"
"2016","Netherlands","3","Wietze","Koops","","m","4","7","3","0","14","bronze"
"2016","Netherlands","4","Matthijs","Poel","van der","m","6","7","0","1","14","bronze"
"2016","Netherlands","5","Levi","Pol","van de","m","3","7","7","7","24","silver"
"2016","Netherlands","6","Reinier","Schmiermann","","m","2","7","7","5","21","silver"
"2016","Netherlands","7","Pim","Spelier","","m","7","5","5","6","23","silver"
"2016","Netherlands","8","Siebe","Verheijen","","m","4","5","7","2","18","bronze"
"2016","Netherlands","9","Michiel","Versnel","","m","4","7","7","1","19","bronze"
"2016","Netherlands","10","Gabriel","Visser","","m","7","1","0","7","15","bronze"
"2016","Netherlands-B","1","Nils","Berg","van de","m","1","0","0","1","2",""
"2016","Netherlands-B","2","Thomas","Chen","","m","4","2","3","0","9",""
"2016","Netherlands-B","3","Luke","Visser","","m","3","0","1","1","5",""
"2017","Belgium","1","Tijs","Buggenhout","","m","1","1","3","2","7",""
"2017","Belgium","2","Daniel","Cortlild","","m","3","2","7","1","13","bronze"
"2017","Belgium","3","Rodrigue","Haya Enriquez","","m","0","5","7","3","15","bronze"
"2017","Belgium","4","Sam","Heyrman","","m","0","4","7","0","11","hm"
"2017","Belgium","5","Savinien","Kreczman","","m","7","7","7","7","28","gold"
"2017","Belgium","6","Simon","Lemal","","m","1","4","1","0","6",""
"2017","Belgium","7","Marie","Peeters","","f","2","6","7","2","17","silver"
"2017","Belgium","8","Robbe","Pincket","","m","4","7","0","0","11","hm"
"2017","Belgium","9","Indy","Van Den Broeck","","m","2","5","6","1","14","bronze"
"2017","Belgium","10","Lukas","Vandeputte","","m","1","3","0","1","5",""
"2017","Luxembourg","1","Martin","Rakovsky","","m","7","3","7","2","19","silver"
"2017","Luxembourg","2","Tom","Schmit","","m","1","1","0","1","3",""
"2017","Luxembourg","3","Pit","Bermes","","m","1","5","2","1","9",""
"2017","Luxembourg","4","Lea","Menasce","","f","0","0","7","0","7","hm"
"2017","Luxembourg","5","Oliver","Nick","","m","0","0","1","1","2",""
"2017","Luxembourg","6","Pol","Thill","","m","0","0","2","0","2",""
"2017","Luxembourg","7","Felix","Thill","","m","0","0","0","0","0",""
"2017","Luxembourg","8","Pierre","Foxius","","m","0","7","0","0","7","hm"
"2017","Luxembourg","9","Mathis","Foxius","","m","0","6","0","0","6",""
"2017","Luxembourg","10","Tim","Conzemius","","m","0","0","0","1","1",""
